,Participant ID,ai_1_a,ai_2_a,news_3_a,ai_4_a,wiki_5_a,ai_6_a,ai_7_a,wiki_8_a,ai_9_a,ai_10_a,wiki_11_a,ai_12_a,ai_13_a,ai_14_a,wiki_15_a,news_16_a,news_17_a,wiki_18_a,wiki_19_a,ai_20_a,news_21_a,ai_22_a,wiki_23_a,ai_24_a,ai_25_a,wiki_26_a,ai_27_a,news_28_a,ai_29_a,ai_30_a,ai_31_a,قيم إذا كنت تعتقد أن هذا النص من الممكن ان يكون مقتبس من ا لويكيبيديا العربية ام لا.         توني هُلِنْغْزْوُرْث إعلامي بريطاني بارز في تنظيم حملات جمهورية مناصرة للحرية في أنحاء العالم من خلال الحفلات والأعمال الفنية.,news_33_a,news_34_a,ai_35_a,wiki_36_a,news_37_a,news_38_a,ai_39_a,news_40_a,news_41_a,ai_42_a,wiki_43_a,wiki_44_a,news_45_a,ai_46_a,news_47_a,ai_48_a,news_49_a,ai_50_a,ai_51_a,ai_52_a,ai_53_a,ai_54_a,ai_55_a,news_56_a,wiki_57_a,ai_58_a
12,2506826,نعم ,نعم ,لا ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2506904,نعم ,نعم ,لا ,نعم ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2506934,نعم ,لا ,لا ,نعم ,نعم ,,لا ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,لا ,نعم ,نعم ,نعم ,نعم ,نعم ,,نعم ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2507012,نعم ,نعم ,نعم ,نعم ,لا ,نعم ,لا ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2507250,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,لا ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,لا ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,لا ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم ,نعم 
67,2507545,نعم ,نعم ,نعم ,نعم ,لا ,نعم ,لا ,نعم ,لا ,لا ,نعم ,نعم ,نعم ,لا ,نعم ,نعم ,نعم ,نعم ,نعم ,لا ,نعم ,لا ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2507554,نعم ,نعم ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2507559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2507614,نعم ,نعم ,لا ,نعم ,نعم ,نعم ,لا ,لا ,نعم ,نعم ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2507661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2507666,لا ,نعم ,لا ,نعم ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2507767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
